START_DATE,CCN
2016-01-01,103
2016-01-02,93
2016-01-03,100
2016-01-04,77
2016-01-05,92
2016-01-06,88
2016-01-07,78
2016-01-08,120
2016-01-09,89
2016-01-10,84
2016-01-11,107
2016-01-12,94
2016-01-13,92
2016-01-14,92
2016-01-15,119
2016-01-16,109
2016-01-17,81
2016-01-18,68
2016-01-19,89
2016-01-20,71
2016-01-21,95
2016-01-22,63
2016-01-23,28
2016-01-24,38
2016-01-25,36
2016-01-26,62
2016-01-27,73
2016-01-28,78
2016-01-29,91
2016-01-30,94
2016-01-31,77
2016-02-01,86
2016-02-02,89
2016-02-03,78
2016-02-04,69
2016-02-05,98
2016-02-06,93
2016-02-07,59
2016-02-08,102
2016-02-09,77
2016-02-10,84
2016-02-11,68
2016-02-12,78
2016-02-13,51
2016-02-14,61
2016-02-15,57
2016-02-16,72
2016-02-17,94
2016-02-18,90
2016-02-19,85
2016-02-20,94
2016-02-21,87
2016-02-22,94
2016-02-23,90
2016-02-24,91
2016-02-25,101
2016-02-26,100
2016-02-27,93
2016-02-28,74
2016-02-29,81
2016-03-01,87
2016-03-02,94
2016-03-03,70
2016-03-04,100
2016-03-05,85
2016-03-06,74
2016-03-07,117
2016-03-08,83
2016-03-09,76
2016-03-10,76
2016-03-11,97
2016-03-12,87
2016-03-13,76
2016-03-14,99
2016-03-15,109
2016-03-16,94
2016-03-17,88
2016-03-18,114
2016-03-19,101
2016-03-20,70
2016-03-21,108
2016-03-22,85
2016-03-23,91
2016-03-24,99
2016-03-25,101
2016-03-26,127
2016-03-27,81
2016-03-28,100
2016-03-29,98
2016-03-30,118
2016-03-31,84
2016-04-01,101
2016-04-02,109
2016-04-03,90
2016-04-04,88
2016-04-05,77
2016-04-06,82
2016-04-07,79
2016-04-08,94
2016-04-09,110
2016-04-10,96
2016-04-11,105
2016-04-12,96
2016-04-13,94
2016-04-14,90
2016-04-15,127
2016-04-16,105
2016-04-17,101
2016-04-18,113
2016-04-19,118
2016-04-20,104
2016-04-21,88
2016-04-22,133
2016-04-23,94
2016-04-24,85
2016-04-25,97
2016-04-26,99
2016-04-27,88
2016-04-28,99
2016-04-29,87
2016-04-30,88
2016-05-01,98
2016-05-02,84
2016-05-03,101
2016-05-04,83
2016-05-05,119
2016-05-06,113
2016-05-07,94
2016-05-08,116
2016-05-09,93
2016-05-10,86
2016-05-11,97
2016-05-12,114
2016-05-13,128
2016-05-14,125
2016-05-15,103
2016-05-16,133
2016-05-17,100
2016-05-18,96
2016-05-19,94
2016-05-20,125
2016-05-21,123
2016-05-22,97
2016-05-23,107
2016-05-24,111
2016-05-25,127
2016-05-26,116
2016-05-27,101
2016-05-28,90
2016-05-29,120
2016-05-30,108
2016-05-31,116
2016-06-01,104
2016-06-02,102
2016-06-03,112
2016-06-04,111
2016-06-05,100
2016-06-06,104
2016-06-07,108
2016-06-08,105
2016-06-09,122
2016-06-10,120
2016-06-11,103
2016-06-12,120
2016-06-13,121
2016-06-14,98
2016-06-15,114
2016-06-16,125
2016-06-17,143
2016-06-18,128
2016-06-19,98
2016-06-20,111
2016-06-21,124
