,level_0,DATE,CCN,STATION,NAME,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT01,WT03,WT04,WT06,WT11,index,Year,Month,Date,Day,Illum
0,0,2016-01-01,103,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,56.0,41.0,42.0,,,,,,,0,2016,1,1,6,0.6
1,1,2016-01-02,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,46.0,31.0,34.0,0.0,,,,,,1,2016,1,2,7,0.5
2,2,2016-01-03,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,48.0,29.0,35.0,,,,,,,2,2016,1,3,1,0.41
3,3,2016-01-04,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,53.0,29.0,34.0,,,,,,,3,2016,1,4,2,0.32
4,4,2016-01-05,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,38.0,15.0,17.0,,,,,,,4,2016,1,5,3,0.23
5,5,2016-01-06,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,34.0,16.0,22.0,,,,,,,5,2016,1,6,4,0.16
6,6,2016-01-07,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,41.0,22.0,35.0,,,,,,,6,2016,1,7,5,0.09
7,7,2016-01-08,120,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,43.0,35.0,40.0,,,,,,,7,2016,1,8,6,0.04
8,8,2016-01-09,89,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.01,,,44.0,40.0,41.0,,,,,,,8,2016,1,9,7,0.01
9,9,2016-01-10,84,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.74,,,70.0,41.0,65.0,,,,,,,9,2016,1,10,1,0.0
10,10,2016-01-11,107,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,65.0,28.0,29.0,,,,,,,10,2016,1,11,2,0.02
11,11,2016-01-12,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,42.0,25.0,32.0,,,,,,,11,2016,1,12,3,0.06
12,12,2016-01-13,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,47.0,21.0,21.0,,,,,,,12,2016,1,13,4,0.12
13,13,2016-01-14,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,31.0,21.0,26.0,,,,,,,13,2016,1,14,5,0.2
14,14,2016-01-15,119,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,53.0,26.0,31.0,,,,,,,14,2016,1,15,6,0.3
15,15,2016-01-16,109,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.35,,,52.0,30.0,43.0,,,,,,,15,2016,1,16,7,0.41
16,16,2016-01-17,81,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,53.0,32.0,37.0,0.0,,,,,,16,2016,1,17,1,0.53
17,17,2016-01-18,68,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.05,,,38.0,17.0,19.0,,,,,,,17,2016,1,18,2,0.64
18,18,2016-01-19,89,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,25.0,15.0,16.0,,,,,,,18,2016,1,19,3,0.74
19,19,2016-01-20,71,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,28.0,16.0,20.0,,,,,,,19,2016,1,20,4,0.83
20,20,2016-01-21,95,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,1.2,1.0,31.0,20.0,23.0,,,,,,,20,2016,1,21,5,0.91
21,21,2016-01-22,63,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,34.0,20.0,25.0,,,,,,,21,2016,1,22,6,0.96
22,22,2016-01-23,28,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,,,,29.0,22.0,24.0,,,,,,,22,2016,1,23,7,0.99
23,23,2016-01-24,38,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,,,,35.0,18.0,24.0,,,,,,,23,2016,1,24,1,1.0
24,24,2016-01-25,36,USC00186350,"NATIONAL ARBORETUM DC, MD US",3.0,2.2,,,16.0,35.0,11.0,14.0,,,,,,,24,2016,1,25,2,0.99
25,25,2016-01-26,62,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,13.0,44.0,14.0,38.0,,,,,,,25,2016,1,26,3,0.95
26,26,2016-01-27,73,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,10.0,53.0,38.0,39.0,,,,,,,26,2016,1,27,4,0.9
27,27,2016-01-28,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,6.0,43.0,18.0,23.0,,,,,,,27,2016,1,28,5,0.84
28,28,2016-01-29,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,,43.0,23.0,30.0,,,,,,,28,2016,1,29,6,0.76
29,29,2016-01-30,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,5.0,42.0,20.0,24.0,,,,,,,29,2016,1,30,7,0.68
30,30,2016-01-31,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,5.0,47.0,24.0,43.0,,,,,,,30,2016,1,31,1,0.59
31,31,2016-02-01,86,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,2.0,62.0,43.0,46.0,,,,,,,31,2016,2,1,2,0.5
32,32,2016-02-02,89,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,,0.0,0.0,60.0,33.0,34.0,,,,,,,32,2016,2,2,3,0.4
33,33,2016-02-03,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,53.0,34.0,42.0,,,,,,,33,2016,2,3,4,0.31
34,34,2016-02-04,69,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.58,0.0,,62.0,42.0,48.0,,,,,,,34,2016,2,4,5,0.22
35,35,2016-02-05,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,0.0,0.0,51.0,36.0,37.0,,,,,,,35,2016,2,5,6,0.14
36,36,2016-02-06,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,44.0,26.0,28.0,,,,,,,36,2016,2,6,7,0.07
37,37,2016-02-07,59,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,45.0,27.0,33.0,,,,,,,37,2016,2,7,1,0.03
38,38,2016-02-08,102,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,47.0,33.0,35.0,,,,,,,38,2016,2,8,2,0.0
39,39,2016-02-09,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.12,0.0,0.0,47.0,35.0,36.0,,,,,,,39,2016,2,9,3,0.01
40,40,2016-02-10,84,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.07,0.0,0.0,41.0,29.0,32.0,,,,,,,40,2016,2,10,4,0.04
41,41,2016-02-11,68,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,40.0,21.0,22.0,,,,,,,41,2016,2,11,5,0.09
42,42,2016-02-12,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,30.0,17.0,23.0,,,,,,,42,2016,2,12,6,0.17
43,43,2016-02-13,51,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0.0,0.0,32.0,19.0,20.0,,,,,,,43,2016,2,13,7,0.27
44,44,2016-02-14,61,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,24.0,13.0,16.0,,,,,,,44,2016,2,14,1,0.38
45,45,2016-02-15,57,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.15,2.0,2.0,27.0,16.0,24.0,,,,,,,45,2016,2,15,2,0.49
46,46,2016-02-16,72,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.38,0.5,2.0,53.0,24.0,53.0,,,,,,,46,2016,2,16,3,0.6
47,47,2016-02-17,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.72,0.0,0.0,64.0,30.0,35.0,,,,,,,47,2016,2,17,4,0.7
48,48,2016-02-18,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,48.0,31.0,33.0,,,,,,,48,2016,2,18,5,0.8
49,49,2016-02-19,85,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,42.0,20.0,25.0,,,,,,,49,2016,2,19,6,0.87
50,50,2016-02-20,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,46.0,25.0,46.0,,,,,,,50,2016,2,20,7,0.93
51,51,2016-02-21,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,67.0,25.0,51.0,,,,,,,51,2016,2,21,1,0.98
52,52,2016-02-22,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.07,0.0,0.0,59.0,40.0,41.0,,,,,,,52,2016,2,22,2,1.0
53,53,2016-02-23,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.14,0.0,0.0,54.0,40.0,41.0,,,,,,,53,2016,2,23,3,1.0
54,54,2016-02-24,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.53,0.0,0.0,47.0,41.0,46.0,,,,,,,54,2016,2,24,4,0.98
55,55,2016-02-25,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,1.13,0.0,0.0,66.0,45.0,46.0,,,,,,,55,2016,2,25,5,0.95
56,56,2016-02-26,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,49.0,34.0,36.0,,,,,,,56,2016,2,26,6,0.89
57,57,2016-02-27,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,41.0,26.0,32.0,0.0,,,,,,57,2016,2,27,7,0.83
58,58,2016-02-28,74,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,47.0,32.0,41.0,,,,,,,58,2016,2,28,1,0.75
59,59,2016-02-29,81,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,67.0,41.0,54.0,,,,,,,59,2016,2,29,2,0.67
60,60,2016-03-01,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,64.0,43.0,44.0,,,,,,,60,2016,3,1,3,0.57
61,61,2016-03-02,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.08,0.0,0.0,67.0,40.0,40.0,,,,,,,61,2016,3,2,4,0.48
62,62,2016-03-03,70,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,44.0,26.0,33.0,,,,,,,62,2016,3,3,5,0.38
63,63,2016-03-04,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.1,1.2,1.0,43.0,32.0,34.0,,,,,,,63,2016,3,4,6,0.28
64,64,2016-03-05,85,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,42.0,34.0,35.0,0.0,,,,,,64,2016,3,5,7,0.19
65,65,2016-03-06,74,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,45.0,34.0,39.0,,,,,,,65,2016,3,6,1,0.11
66,66,2016-03-07,117,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,52.0,32.0,40.0,,,,,,,66,2016,3,7,2,0.05
67,67,2016-03-08,83,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,67.0,40.0,49.0,,,,,,,67,2016,3,8,3,0.01
68,68,2016-03-09,76,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,79.0,43.0,50.0,,,,,,,68,2016,3,9,4,0.0
69,69,2016-03-10,76,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,,83.0,50.0,65.0,,,,,,,69,2016,3,10,5,0.02
70,70,2016-03-11,97,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,80.0,61.0,61.0,,,,,,,70,2016,3,11,6,0.07
71,71,2016-03-12,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,,74.0,48.0,51.0,,,,,,,71,2016,3,12,7,0.14
72,72,2016-03-13,76,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,60.0,51.0,54.0,,,,,,,72,2016,3,13,1,0.23
73,73,2016-03-14,99,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.48,0.0,0.0,60.0,50.0,53.0,,,,,,,73,2016,3,14,2,0.34
74,74,2016-03-15,109,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0.0,0.0,54.0,46.0,47.0,,,,,,,74,2016,3,15,3,0.45
75,75,2016-03-16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0.0,0.0,65.0,45.0,46.0,,,,,,,75,2016,3,16,4,0.56
76,76,2016-03-17,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,75.0,43.0,44.0,,,,,,,76,2016,3,17,5,0.66
77,77,2016-03-18,114,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,69.0,43.0,43.0,,,,,,,77,2016,3,18,6,0.75
78,78,2016-03-19,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,68.0,43.0,45.0,,,,,,,78,2016,3,19,7,0.84
79,79,2016-03-20,70,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.21,,,46.0,37.0,40.0,,,,,,,79,2016,3,20,1,0.9
80,80,2016-03-21,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,43.0,35.0,40.0,,,,,,,80,2016,3,21,2,0.95
81,81,2016-03-22,85,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,54.0,31.0,33.0,,,,,,,81,2016,3,22,3,0.98
82,82,2016-03-23,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,63.0,33.0,56.0,,,,,,,82,2016,3,23,4,1.0
83,83,2016-03-24,99,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,76.0,46.0,51.0,,,,,,,83,2016,3,24,5,1.0
84,84,2016-03-25,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,78.0,51.0,66.0,,,,,,,84,2016,3,25,6,0.97
85,85,2016-03-26,127,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,,,74.0,40.0,41.0,,,,,,,85,2016,3,26,7,0.94
86,86,2016-03-27,81,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,63.0,41.0,49.0,,,,,,,86,2016,3,27,1,0.88
87,87,2016-03-28,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.41,0.0,0.0,57.0,49.0,51.0,,,,,,,87,2016,3,28,2,0.81
88,88,2016-03-29,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,,,70.0,47.0,48.0,,,,,,,88,2016,3,29,3,0.73
89,89,2016-03-30,118,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,,,62.0,33.0,41.0,,,,,,,89,2016,3,30,4,0.64
90,90,2016-03-31,84,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,65.0,41.0,55.0,,,,,,,90,2016,3,31,5,0.54
91,91,2016-04-01,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,74.0,55.0,69.0,,,,,,,91,2016,4,1,6,0.44
92,92,2016-04-02,109,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.1,0.0,0.0,84.0,50.0,51.0,,,,,,,92,2016,4,2,7,0.34
93,93,2016-04-03,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.12,0.0,0.0,63.0,36.0,37.0,,,,,,,93,2016,4,3,1,0.24
94,94,2016-04-04,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.02,0.0,0.0,54.0,37.0,51.0,,,,,,,94,2016,4,4,2,0.15
95,95,2016-04-05,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.08,0.0,0.0,72.0,30.0,32.0,,,,,,,95,2016,4,5,3,0.08
96,96,2016-04-06,82,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,47.0,28.0,32.0,,,,,,,96,2016,4,6,4,0.02
97,97,2016-04-07,79,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,0.0,0.0,57.0,32.0,55.0,,,,,,,97,2016,4,7,5,0.0
98,98,2016-04-08,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.64,0.0,0.0,64.0,44.0,45.0,,,,,,,98,2016,4,8,6,0.01
99,99,2016-04-09,110,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.08,0.0,0.0,54.0,39.0,39.0,,,,,,,99,2016,4,9,7,0.05
100,100,2016-04-10,96,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0.0,0.0,50.0,31.0,34.0,0.0,,,,,,100,2016,4,10,1,0.11
101,101,2016-04-11,105,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,53.0,34.0,49.0,,,,,,,101,2016,4,11,2,0.2
102,102,2016-04-12,96,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.03,0.0,0.0,74.0,48.0,61.0,,,,,,,102,2016,4,12,3,0.29
103,103,2016-04-13,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,65.0,40.0,43.0,,,,,,,103,2016,4,13,4,0.4
104,104,2016-04-14,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,60.0,36.0,41.0,,,,,,,104,2016,4,14,5,0.51
105,105,2016-04-15,127,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,65.0,38.0,44.0,,,,,,,105,2016,4,15,6,0.61
106,106,2016-04-16,105,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,66.0,41.0,50.0,,,,,,,106,2016,4,16,7,0.7
107,107,2016-04-17,101,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,73.0,41.0,51.0,,,,,,,107,2016,4,17,1,0.79
108,108,2016-04-18,113,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,76.0,47.0,51.0,,,,,,,108,2016,4,18,2,0.86
109,109,2016-04-19,118,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,83.0,51.0,56.0,,,,,,,109,2016,4,19,3,0.92
110,110,2016-04-20,104,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.0,0.0,0.0,83.0,43.0,55.0,,,,,,,110,2016,4,20,4,0.96
