,DATE,CCN,STATION,NAME,DEWP,GUST,MAX,MIN,PRCP,SLP,SNDP,TEMP,WDSP,Year,Month,Date,Day,Illum
0,1/1/16,103,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",30.8,0,57,39.9,0,1020.6,0,44,8,2016,1,1,6,0.6
1,1/2/16,93,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",23.4,14,48,32,0,1020.2,0,39.5,6.4,2016,1,2,7,0.5
2,1/3/16,100,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",28,24.1,54,32,0,1013.9,0,40.9,5.1,2016,1,3,1,0.41
3,1/4/16,77,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",18.2,28.9,54,30,0,1017.8,0,35.6,12.5,2016,1,4,2,0.32
4,1/5/16,92,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3,29.9,37.9,16,0,1034.3,0,24.2,12.7,2016,1,5,3,0.23
5,1/6/16,88,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",11.5,0,39.9,16,0,1036,0,29,3.5,2016,1,6,4,0.16
6,1/7/16,78,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",29.3,0,43,19.9,0,1027.8,0,38,1.6,2016,1,7,5,0.09
7,1/8/16,120,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",39,0,43,34,0,1021.9,0,41.1,4.5,2016,1,8,6,0.04
8,1/9/16,89,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",41.7,0,50,39.9,0.01,1019.9,0,44.4,2.9,2016,1,9,7,0.01
9,1/10/16,84,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",47.5,35,62.1,41,0.78,1002.2,0,54.5,12.6,2016,1,10,1,0
10,1/11/16,107,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",12.9,28,46,28.9,0.56,1014.6,0,36.1,10.7,2016,1,11,2,0.02
11,1/12/16,94,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",15.8,32.1,46.9,28,0,1014.4,0,35.8,9.3,2016,1,12,3,0.06
12,1/13/16,92,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6.4,35,46.9,21,0,1019,0,28.4,11.9,2016,1,13,4,0.12
13,1/14/16,92,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",14.7,21,53.1,21,0,1016.1,0,35.1,6.1,2016,1,14,5,0.2
14,1/15/16,119,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",31.7,0,53.1,28,0,1012.1,0,42.7,4.8,2016,1,15,6,0.3
15,1/16/16,109,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",40.3,22,53.1,34,0.33,1002.4,0,44.8,7.6,2016,1,16,7,0.41
16,1/17/16,81,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",28.3,0,53.1,32,0.01,1011.2,0,37.3,6.6,2016,1,17,1,0.53
17,1/18/16,68,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",9.9,28.9,37.9,18,0.05,1015.1,0,26.4,13.4,2016,1,18,2,0.64
18,1/19/16,89,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",-1.1,28.9,34,15.1,0,1025.2,0,19.6,13.7,2016,1,19,3,0.74
19,1/20/16,71,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5.5,22.9,30.9,15.1,0,1026.9,1.2,23.9,8.6,2016,1,20,4,0.83
20,1/21/16,95,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",17,22,34,19,0.03,1024.3,1.2,27.8,9,2016,1,21,5,0.91
21,1/22/16,63,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",14.8,0,34,21.9,0,1025.3,3.1,26,8.6,2016,1,22,6,0.96
22,1/23/16,28,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",22.2,36.9,28.9,21.9,1.2,1006.2,18.1,25.3,19.7,2016,1,23,7,0.99
23,1/24/16,38,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",15.4,28,35.1,21,0.28,1016.2,16.9,28.3,11.4,2016,1,24,1,1
24,1/25/16,36,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",18.1,0,42.1,16,0,1023.6,11.8,26.7,2.1,2016,1,25,2,0.99
25,1/26/16,62,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",28,0,52,16,0,1019.9,5.9,39.4,6.1,2016,1,26,3,0.95
26,1/27/16,73,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",29,22,52,30,0,1019.2,3.9,42.2,8.6,2016,1,27,4,0.9
27,1/28/16,78,72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",22.9,0,48,25,0,1017.1,3.1,32.8,3.8,2016,1,28,5,0.84
