START_DATE,CCN
2008-01-01,66
2008-01-02,66
2008-01-03,75
2008-01-04,65
2008-01-05,88
2008-01-06,63
2008-01-07,87
2008-01-08,88
2008-01-09,79
2008-01-10,56
2008-01-11,82
2008-01-12,75
2008-01-13,90
2008-01-14,64
2008-01-15,94
2008-01-16,73
2008-01-17,82
2008-01-18,112
2008-01-19,92
2008-01-20,76
2008-01-21,82
2008-01-22,97
2008-01-23,98
2008-01-24,100
2008-01-25,100
2008-01-26,110
2008-01-27,93
2008-01-28,106
2008-01-29,108
2008-01-30,80
2008-01-31,77
2008-02-01,86
2008-02-02,103
2008-02-03,65
2008-02-04,70
2008-02-05,79
2008-02-06,94
2008-02-07,78
2008-02-08,105
2008-02-09,93
2008-02-10,81
2008-02-11,67
2008-02-12,69
2008-02-13,67
2008-02-14,86
2008-02-15,92
2008-02-16,93
2008-02-17,87
2008-02-18,78
2008-02-19,76
2008-02-20,84
2008-02-21,88
2008-02-22,112
2008-02-23,105
2008-02-24,83
2008-02-25,91
2008-02-26,91
2008-02-27,85
2008-02-28,71
2008-02-29,80
2008-03-01,95
2008-03-02,84
2008-03-03,78
2008-03-04,84
2008-03-05,77
2008-03-06,87
2008-03-07,81
2008-03-08,89
2008-03-09,64
2008-03-10,89
2008-03-11,81
2008-03-12,72
2008-03-13,69
2008-03-14,88
2008-03-15,93
2008-03-16,65
2008-03-17,107
2008-03-18,96
2008-03-19,64
2008-03-20,77
2008-03-21,94
2008-03-22,88
2008-03-23,82
2008-03-24,82
2008-03-25,83
2008-03-26,74
2008-03-27,77
2008-03-28,98
2008-03-29,71
2008-03-30,71
2008-03-31,87
2008-04-01,89
2008-04-02,75
2008-04-03,76
2008-04-04,97
2008-04-05,105
2008-04-06,73
2008-04-07,89
2008-04-08,84
2008-04-09,90
2008-04-10,69
2008-04-11,93
2008-04-12,96
2008-04-13,76
2008-04-14,85
2008-04-15,100
2008-04-16,88
2008-04-17,88
2008-04-18,105
2008-04-19,116
2008-04-20,91
2008-04-21,100
2008-04-22,99
2008-04-23,113
2008-04-24,105
2008-04-25,101
2008-04-26,102
2008-04-27,84
2008-04-28,71
2008-04-29,71
2008-04-30,86
2008-05-01,82
2008-05-02,88
2008-05-03,99
2008-05-04,90
2008-05-05,97
2008-05-06,103
2008-05-07,91
2008-05-08,90
2008-05-09,116
2008-05-10,116
2008-05-11,96
2008-05-12,97
2008-05-13,100
2008-05-14,96
2008-05-15,100
2008-05-16,122
2008-05-17,105
2008-05-18,101
2008-05-19,111
2008-05-20,86
2008-05-21,92
2008-05-22,104
2008-05-23,100
2008-05-24,117
2008-05-25,103
2008-05-26,96
2008-05-27,107
2008-05-28,126
2008-05-29,102
2008-05-30,105
2008-05-31,122
2008-06-01,95
2008-06-02,97
2008-06-03,88
2008-06-04,89
2008-06-05,91
2008-06-06,107
2008-06-07,106
2008-06-08,111
2008-06-09,88
2008-06-10,93
2008-06-11,97
2008-06-12,116
2008-06-13,92
2008-06-14,108
2008-06-15,90
2008-06-16,117
2008-06-17,101
2008-06-18,104
2008-06-19,88
2008-06-20,114
2008-06-21,119
2008-06-22,101
2008-06-23,120
2008-06-24,82
2008-06-25,116
2008-06-26,108
2008-06-27,109
2008-06-28,126
2008-06-29,101
2008-06-30,91
2008-07-01,98
2008-07-02,92
2008-07-03,121
2008-07-04,85
2008-07-05,102
2008-07-06,91
2008-07-07,111
2008-07-08,108
2008-07-09,109
2008-07-10,98
2008-07-11,108
2008-07-12,129
2008-07-13,92
2008-07-14,106
2008-07-15,118
2008-07-16,92
2008-07-17,117
2008-07-18,114
2008-07-19,111
2008-07-20,124
2008-07-21,110
2008-07-22,131
2008-07-23,93
2008-07-24,106
2008-07-25,132
2008-07-26,107
2008-07-27,118
2008-07-28,125
2008-07-29,99
2008-07-30,108
2008-07-31,75
2008-08-01,111
2008-08-02,109
2008-08-03,80
2008-08-04,76
2008-08-05,84
2008-08-06,83
2008-08-07,92
2008-08-08,105
2008-08-09,108
2008-08-10,98
2008-08-11,102
2008-08-12,102
2008-08-13,75
2008-08-14,90
2008-08-15,111
2008-08-16,99
2008-08-17,88
2008-08-18,99
2008-08-19,91
2008-08-20,89
2008-08-21,97
2008-08-22,115
2008-08-23,81
2008-08-24,99
2008-08-25,98
2008-08-26,92
2008-08-27,97
2008-08-28,105
2008-08-29,105
2008-08-30,89
2008-08-31,103
2008-09-01,85
2008-09-02,90
2008-09-03,80
2008-09-04,89
2008-09-05,98
2008-09-06,64
2008-09-07,90
2008-09-08,111
2008-09-09,84
2008-09-10,84
2008-09-11,78
2008-09-12,84
2008-09-13,95
2008-09-14,99
2008-09-15,89
2008-09-16,83
2008-09-17,84
2008-09-18,99
2008-09-19,122
2008-09-20,109
2008-09-21,84
2008-09-22,104
2008-09-23,94
2008-09-24,77
2008-09-25,89
2008-09-26,136
2008-09-27,131
2008-09-28,107
2008-09-29,99
2008-09-30,97
2008-10-01,83
2008-10-02,82
2008-10-03,100
2008-10-04,88
2008-10-05,113
2008-10-06,93
2008-10-07,90
2008-10-08,104
2008-10-09,90
2008-10-10,120
2008-10-11,96
2008-10-12,107
2008-10-13,104
2008-10-14,85
2008-10-15,92
2008-10-16,105
2008-10-17,108
2008-10-18,113
2008-10-19,107
2008-10-20,97
2008-10-21,119
2008-10-22,86
2008-10-23,93
2008-10-24,109
2008-10-25,128
2008-10-26,89
2008-10-27,106
2008-10-28,88
2008-10-29,94
2008-10-30,88
2008-10-31,127
2008-11-01,103
2008-11-02,108
2008-11-03,96
2008-11-04,72
2008-11-05,99
2008-11-06,88
2008-11-07,120
2008-11-08,103
2008-11-09,92
2008-11-10,86
2008-11-11,64
2008-11-12,93
2008-11-13,98
2008-11-14,100
2008-11-15,120
2008-11-16,92
2008-11-17,94
2008-11-18,72
2008-11-19,78
2008-11-20,83
2008-11-21,89
2008-11-22,77
2008-11-23,90
2008-11-24,93
2008-11-25,94
2008-11-26,84
2008-11-27,68
2008-11-28,96
2008-11-29,83
2008-11-30,83
2008-12-01,109
2008-12-02,58
2008-12-03,70
2008-12-04,93
2008-12-05,105
2008-12-06,105
2008-12-07,58
2008-12-08,77
2008-12-09,87
2008-12-10,93
2008-12-11,71
2008-12-12,113
2008-12-13,96
2008-12-14,94
2008-12-15,103
2008-12-16,93
2008-12-17,84
2008-12-18,85
2008-12-19,104
2008-12-20,87
2008-12-21,73
2008-12-22,89
2008-12-23,93
2008-12-24,83
2008-12-25,57
2008-12-26,81
2008-12-27,96
2008-12-28,82
2008-12-29,87
2008-12-30,75
2008-12-31,88
2009-01-01,96
2009-01-02,71
2009-01-03,91
2009-01-04,79
2009-01-05,82
2009-01-06,77
2009-01-07,90
2009-01-08,65
2009-01-09,88
2009-01-10,99
2009-01-11,77
2009-01-12,67
2009-01-13,80
2009-01-14,87
2009-01-15,80
2009-01-16,92
2009-01-17,107
2009-01-18,92
2009-01-19,90
2009-01-20,102
2009-01-21,94
2009-01-22,92
2009-01-23,123
2009-01-24,90
2009-01-25,75
2009-01-26,76
2009-01-27,53
2009-01-28,66
2009-01-29,68
2009-01-30,76
2009-01-31,91
2009-02-01,78
2009-02-02,82
2009-02-03,69
2009-02-04,70
2009-02-05,76
2009-02-06,96
2009-02-07,99
2009-02-08,56
2009-02-09,72
2009-02-10,73
2009-02-11,81
2009-02-12,78
2009-02-13,84
2009-02-14,79
2009-02-15,82
2009-02-16,70
2009-02-17,85
2009-02-18,82
2009-02-19,66
2009-02-20,82
2009-02-21,113
2009-02-22,73
2009-02-23,69
2009-02-24,73
2009-02-25,81
2009-02-26,97
2009-02-27,94
2009-02-28,100
2009-03-01,71
2009-03-02,51
2009-03-03,61
2009-03-04,79
2009-03-05,65
2009-03-06,76
2009-03-07,66
2009-03-08,68
2009-03-09,80
2009-03-10,77
2009-03-11,67
2009-03-12,88
2009-03-13,84
2009-03-14,83
2009-03-15,80
2009-03-16,85
2009-03-17,81
2009-03-18,65
2009-03-19,83
2009-03-20,86
2009-03-21,55
2009-03-22,63
2009-03-23,86
2009-03-24,63
2009-03-25,64
2009-03-26,71
2009-03-27,91
2009-03-28,82
2009-03-29,88
2009-03-30,105
2009-03-31,94
2009-04-01,74
2009-04-02,89
2009-04-03,83
2009-04-04,100
2009-04-05,69
2009-04-06,79
2009-04-07,85
2009-04-08,76
2009-04-09,84
2009-04-10,78
2009-04-11,91
2009-04-12,60
2009-04-13,87
2009-04-14,70
2009-04-15,71
2009-04-16,81
2009-04-17,81
2009-04-18,118
2009-04-19,79
2009-04-20,80
2009-04-21,82
2009-04-22,78
2009-04-23,97
2009-04-24,108
2009-04-25,80
2009-04-26,75
2009-04-27,85
2009-04-28,86
2009-04-29,75
2009-04-30,92
2009-05-01,126
2009-05-02,93
2009-05-03,93
2009-05-04,80
2009-05-05,98
2009-05-06,67
2009-05-07,75
2009-05-08,95
2009-05-09,101
2009-05-10,87
2009-05-11,85
2009-05-12,89
2009-05-13,87
2009-05-14,80
2009-05-15,107
2009-05-16,93
2009-05-17,91
2009-05-18,113
2009-05-19,86
