STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-01,13.42,0,0,0,54,36,300,300,25.9,36,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-02,18.34,0,0,0,38,25,330,330,32,40,0,,,,,,,,,,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-03,10.74,0,0,0,34,22,330,330,21.9,30,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-04,5.82,0,0,0,41,21,170,170,14.1,16.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-05,3.58,0,0,0,43,28,160,160,12.1,13,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-06,2.91,0.2,0,0,55,38,170,170,12.1,13,1,,,,,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-07,8.5,0,0,0,69,46,180,190,13,15,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-08,11.18,0,0,0,73,48,200,200,25.1,31.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-09,11.86,0,0,0,68,47,290,190,23.9,33.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-10,3.8,0.18,0,0,52,40,110,110,13,14.1,1,,,,,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-11,4.47,0.15,0,0,59,43,350,350,19.9,25.1,1,1,,,,,,1,,,,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-12,6.93,0,0,0,54,42,330,330,14.1,16.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-13,6.93,0.03,0,0,49,36,110,100,14.1,17,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-14,8.5,0,0,0,47,35,310,280,23.9,29.1,0,,,,,,,1,,,,,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-15,8.95,0,0,0,40,30,290,290,25.9,32,0,,,,,,,,,,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-16,7.61,0,0,0,44,32,320,320,19.9,28,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-17,6.26,0.75,1.3,0,39,34,320,340,13,16.1,1,1,,1,,,,,,,,1,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-18,6.71,0,0,1,49,33,200,330,12.1,15,1,,,,,,,1,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-19,6.93,0,0,0,42,36,340,330,21.9,36.9,0,,,,,,,,,,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-20,15.21,0,0,0,37,19,320,330,25.9,34.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-21,7.38,0,0,0,32,18,190,330,14.1,17.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-22,11.18,0,0,0,42,26,200,210,17.9,21.9,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-23,9.17,0,0,0,48,30,330,330,28,32,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-24,9.84,0,0,0,43,28,330,320,28,33.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-25,9.62,0,0,0,36,22,340,340,23.9,30,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-26,5.14,0,0,0,40,29,90,90,12.1,15,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-27,8.28,0,0,0,45,30,330,330,21,25.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-28,7.16,0,0,0,47,33,340,310,15,19.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-29,4.03,0.05,0,0,54,33,190,190,13,19.9,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-30,15.43,0.01,0,0,56,36,300,300,30,38.9,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-01-31,7.61,0,0,0,45,28,320,320,17,21.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-01,8.05,2.05,0,0,47,35,60,40,19.9,23.9,1,,,,,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-02,3.8,0,0,0,51,32,320,300,13,16.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-03,3.8,0,0,0,57,32,180,180,10.1,12.1,0,,,,,,,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-04,4.47,0.01,0,0,55,40,50,50,10.1,12.1,0,,,,,,,1,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-05,4.7,0,0,0,65,41,330,330,28,36,1,1,,,,,,1,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-06,15.21,0.14,0,0,74,55,210,200,28,32,0,,1,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-07,12.3,0,0,0,64,40,320,320,28,34.9,0,,1,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-08,4.47,0,0,0,53,36,330,310,13,17,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-09,5.59,0,0,0,59,39,310,300,15,21.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-10,15.21,0,0,0,51,22,310,280,38,51.9,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-11,10.07,0,0,0,32,16,320,320,21.9,29.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-12,8.95,0.18,0,0,33,25,20,20,16.1,25.9,1,,,1,,1,,,,,,,,1,1,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-13,11.18,1.17,0,0,41,32,330,340,30,38,1,,,,,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-14,11.41,0,0,0,44,28,330,340,28,36,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-15,8.72,0,0,0,58,34,350,350,23.9,28,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-16,8.5,0,0,0,47,32,360,350,21,29.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-17,4.92,0,0,0,53,33,160,130,14.1,17.9,1,,,,,,,1,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-18,14.09,0.22,0,0,74,43,340,340,28,36,1,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-19,12.53,0,0,0,50,30,260,270,31.1,42.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-20,7.16,0.02,1,0,36,27,340,330,25.1,30,1,,,,,,,1,,,1,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-21,8.28,0,0,1,35,21,330,330,21,23.9,0,,,,,,,,,,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-22,4.92,0.29,0,0,36,29,310,300,12.1,14.1,1,,,1,,1,,1,,,,1,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-23,6.49,0,0,0,41,35,340,340,17,21,1,,,,,,,1,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-24,6.26,0,0,0,44,29,180,180,13,16.1,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-25,5.14,0,0,0,51,38,260,250,14.1,23.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-26,6.71,0.09,0,0,54,40,310,300,21.9,31.1,1,,,,,,,1,,,1,,,1,,,,
