,DATE,CCN,STATION,NAME,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT01,WT03,WT04,WT06,WT11,Year,Month,Date,Day,Illum
0,1/1/16,103,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,56,41,42,,,,,,,2016,1,1,6,0.6
1,1/2/16,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,46,31,34,0,,,,,,2016,1,2,7,0.5
2,1/3/16,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,48,29,35,,,,,,,2016,1,3,1,0.41
3,1/4/16,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,53,29,34,,,,,,,2016,1,4,2,0.32
4,1/5/16,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,38,15,17,,,,,,,2016,1,5,3,0.23
5,1/6/16,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,34,16,22,,,,,,,2016,1,6,4,0.16
6,1/7/16,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,41,22,35,,,,,,,2016,1,7,5,0.09
7,1/8/16,120,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,43,35,40,,,,,,,2016,1,8,6,0.04
8,1/9/16,89,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.01,,,44,40,41,,,,,,,2016,1,9,7,0.01
9,1/10/16,84,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.74,,,70,41,65,,,,,,,2016,1,10,1,0
10,1/11/16,107,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,65,28,29,,,,,,,2016,1,11,2,0.02
11,1/12/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,42,25,32,,,,,,,2016,1,12,3,0.06
12,1/13/16,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,47,21,21,,,,,,,2016,1,13,4,0.12
13,1/14/16,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,31,21,26,,,,,,,2016,1,14,5,0.2
14,1/15/16,119,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,53,26,31,,,,,,,2016,1,15,6,0.3
15,1/16/16,109,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.35,,,52,30,43,,,,,,,2016,1,16,7,0.41
16,1/17/16,81,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,53,32,37,0,,,,,,2016,1,17,1,0.53
17,1/18/16,68,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.05,,,38,17,19,,,,,,,2016,1,18,2,0.64
18,1/19/16,89,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,25,15,16,,,,,,,2016,1,19,3,0.74
19,1/20/16,71,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,28,16,20,,,,,,,2016,1,20,4,0.83
20,1/21/16,95,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,1.2,1,31,20,23,,,,,,,2016,1,21,5,0.91
21,1/22/16,63,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,34,20,25,,,,,,,2016,1,22,6,0.96
22,1/23/16,28,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,29,22,24,,,,,,,2016,1,23,7,0.99
23,1/24/16,38,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,35,18,24,,,,,,,2016,1,24,1,1
24,1/25/16,36,USC00186350,"NATIONAL ARBORETUM DC, MD US",3,2.2,0,,16,35,11,14,,,,,,,2016,1,25,2,0.99
25,1/26/16,62,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,13,44,14,38,,,,,,,2016,1,26,3,0.95
26,1/27/16,73,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,10,53,38,39,,,,,,,2016,1,27,4,0.9
27,1/28/16,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,6,43,18,23,,,,,,,2016,1,28,5,0.84
28,1/29/16,91,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,,43,23,30,,,,,,,2016,1,29,6,0.76
29,1/30/16,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,5,42,20,24,,,,,,,2016,1,30,7,0.68
30,1/31/16,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,5,47,24,43,,,,,,,2016,1,31,1,0.59
31,2/1/16,86,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,2,62,43,46,,,,,,,2016,2,1,2,0.5
32,2/2/16,89,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,60,33,34,,,,,,,2016,2,2,3,0.4
33,2/3/16,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,0,0,53,34,42,,,,,,,2016,2,3,4,0.31
34,2/4/16,69,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.58,0,,62,42,48,,,,,,,2016,2,4,5,0.22
35,2/5/16,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0.04,0,0,51,36,37,,,,,,,2016,2,5,6,0.14
36,2/6/16,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",,,0,,,44,26,28,,,,,,,2016,2,6,7,0.07
