"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-01","56","41","42"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-02","46","31","34"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-03","48","29","35"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-04","53","29","34"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-05","38","15","17"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-06","34","16","22"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-07","41","22","35"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-08","43","35","40"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-09","44","40","41"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-10","70","41","65"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-11","65","28","29"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-12","42","25","32"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-13","47","21","21"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-14","31","21","26"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-15","53","26","31"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-16","52","30","43"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-17","53","32","37"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-18","38","17","19"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-19","25","15","16"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-20","28","16","20"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-21","31","20","23"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-22","34","20","25"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-23","29","22","24"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-24","35","18","24"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-25","35","11","14"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-26","44","14","38"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-27","53","38","39"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2016-01-28","43","18","23"
