DATE,Day,Date,Month,Year,Illum
2008-01-01,3,1,1,2008,0.42
2008-02-01,4,2,1,2008,0.33
2008-03-01,5,3,1,2008,0.24
2008-04-01,6,4,1,2008,0.17
2008-05-01,7,5,1,2008,0.1
2008-06-01,1,6,1,2008,0.05
2008-07-01,2,7,1,2008,0.02
2008-08-01,3,8,1,2008,0
2008-09-01,4,9,1,2008,0.01
2008-10-01,5,10,1,2008,0.03
2008-11-01,6,11,1,2008,0.08
2008-12-01,7,12,1,2008,0.14
2008-01-13,1,13,1,2008,0.23
2008-01-14,2,14,1,2008,0.32
2008-01-15,3,15,1,2008,0.43
2008-01-16,4,16,1,2008,0.54
2008-01-17,5,17,1,2008,0.66
2008-01-18,6,18,1,2008,0.76
2008-01-19,7,19,1,2008,0.85
2008-01-20,1,20,1,2008,0.93
2008-01-21,2,21,1,2008,0.97
2008-01-22,3,22,1,2008,1
2008-01-23,4,23,1,2008,0.99
2008-01-24,5,24,1,2008,0.97
2008-01-25,6,25,1,2008,0.92
2008-01-26,7,26,1,2008,0.85
2008-01-27,1,27,1,2008,0.77
2008-01-28,2,28,1,2008,0.69
2008-01-29,3,29,1,2008,0.6
2008-01-30,4,30,1,2008,0.5
2008-01-31,5,31,1,2008,0.41
2008-01-02,6,1,2,2008,0.32
2008-02-02,7,2,2,2008,0.23
2008-03-02,1,3,2,2008,0.16
2008-04-02,2,4,2,2008,0.09
2008-05-02,3,5,2,2008,0.04
2008-06-02,4,6,2,2008,0.01
2008-07-02,5,7,2,2008,0
2008-08-02,6,8,2,2008,0.01
2008-09-02,7,9,2,2008,0.05
2008-10-02,1,10,2,2008,0.11
2008-11-02,2,11,2,2008,0.19
2008-12-02,3,12,2,2008,0.29
2008-02-13,4,13,2,2008,0.39
2008-02-14,5,14,2,2008,0.51
2008-02-15,6,15,2,2008,0.62
2008-02-16,7,16,2,2008,0.73
2008-02-17,1,17,2,2008,0.82
2008-02-18,2,18,2,2008,0.9
2008-02-19,3,19,2,2008,0.96
2008-02-20,4,20,2,2008,0.99
2008-02-21,5,21,2,2008,1
2008-02-22,6,22,2,2008,0.99
2008-02-23,7,23,2,2008,0.95
