Text,Day,Date,Month,Year,Illum
01-01-2009,5,01,01,2009,0.19
02-01-2009,6,02,01,2009,0.27
03-01-2009,7,03,01,2009,0.37
04-01-2009,1,04,01,2009,0.47
05-01-2009,2,05,01,2009,0.58
06-01-2009,3,06,01,2009,0.69
07-01-2009,4,07,01,2009,0.79
08-01-2009,5,08,01,2009,0.87
09-01-2009,6,09,01,2009,0.94
10-01-2009,7,10,01,2009,0.99
11-01-2009,1,11,01,2009,1
12-01-2009,2,12,01,2009,0.98
13-01-2009,3,13,01,2009,0.94
14-01-2009,4,14,01,2009,0.87
15-01-2009,5,15,01,2009,0.79
16-01-2009,6,16,01,2009,0.69
17-01-2009,7,17,01,2009,0.59
18-01-2009,1,18,01,2009,0.49
19-01-2009,2,19,01,2009,0.39
20-01-2009,3,20,01,2009,0.3
21-01-2009,4,21,01,2009,0.22
22-01-2009,5,22,01,2009,0.15
23-01-2009,6,23,01,2009,0.09
24-01-2009,7,24,01,2009,0.04
25-01-2009,1,25,01,2009,0.01
26-01-2009,2,26,01,2009,0
27-01-2009,3,27,01,2009,0.01
28-01-2009,4,28,01,2009,0.03
29-01-2009,5,29,01,2009,0.08
30-01-2009,6,30,01,2009,0.14
31-01-2009,7,31,01,2009,0.22
01-02-2009,1,01,02,2009,0.31
02-02-2009,2,02,02,2009,0.42
03-02-2009,3,03,02,2009,0.53
04-02-2009,4,04,02,2009,0.64
05-02-2009,5,05,02,2009,0.75
06-02-2009,6,06,02,2009,0.84
07-02-2009,7,07,02,2009,0.92
08-02-2009,1,08,02,2009,0.97
09-02-2009,2,09,02,2009,1
10-02-2009,3,10,02,2009,0.99
11-02-2009,4,11,02,2009,0.97
12-02-2009,5,12,02,2009,0.91
13-02-2009,6,13,02,2009,0.84
14-02-2009,7,14,02,2009,0.76
15-02-2009,1,15,02,2009,0.66
16-02-2009,2,16,02,2009,0.57
17-02-2009,3,17,02,2009,0.47
18-02-2009,4,18,02,2009,0.38
19-02-2009,5,19,02,2009,0.29
20-02-2009,6,20,02,2009,0.21
21-02-2009,7,21,02,2009,0.14
22-02-2009,1,22,02,2009,0.08
23-02-2009,2,23,02,2009,0.03
24-02-2009,3,24,02,2009,0.01
25-02-2009,4,25,02,2009,0
26-02-2009,5,26,02,2009,0.01
27-02-2009,6,27,02,2009,0.05
28-02-2009,7,28,02,2009,0.11
01-03-2009,1,01,03,2009,0.18
02-03-2009,2,02,03,2009,0.27
03-03-2009,3,03,03,2009,0.38
04-03-2009,4,04,03,2009,0.49
05-03-2009,5,05,03,2009,0.6
06-03-2009,6,06,03,2009,0.71
07-03-2009,7,07,03,2009,0.81
08-03-2009,1,08,03,2009,0.89
09-03-2009,2,09,03,2009,0.95
10-03-2009,3,10,03,2009,0.99
11-03-2009,4,11,03,2009,1
12-03-2009,5,12,03,2009,0.98
13-03-2009,6,13,03,2009,0.95
14-03-2009,7,14,03,2009,0.89
