,index,DATE,CCN,STATION,NAME,PRCP,TMAX,TMIN,Day,Date,Month,Year,Illum
0,0,2008-01-01,66,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,49.0,32.0,3,1,1,2008,0.42
1,1,2008-01-02,66,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,52.0,26.0,6,1,2,2008,0.32
2,2,2008-01-03,75,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,35.0,21.0,7,1,3,2008,0.4
3,3,2008-01-04,65,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,31.0,17.0,3,1,4,2008,0.28
4,4,2008-01-05,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,39.0,18.0,5,1,5,2008,0.24
5,5,2008-01-06,63,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.2,42.0,24.0,1,1,6,2008,0.1
6,6,2008-01-07,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,54.0,39.0,3,1,7,2008,0.05
7,7,2008-01-08,88,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,70.0,50.0,6,1,8,2008,0.0
8,8,2008-01-09,79,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,71.0,53.0,2,1,9,2008,0.02
9,9,2008-01-10,56,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,66.0,34.0,4,1,10,2008,0.04
10,10,2008-01-11,82,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.23,51.0,35.0,7,1,11,2008,0.1
11,11,2008-01-12,75,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.1,57.0,35.0,2,1,12,2008,0.11
12,12,2008-01-13,90,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,51.0,29.0,1,13,1,2008,0.23
13,13,2008-01-14,64,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.03,47.0,29.0,2,14,1,2008,0.32
14,14,2008-01-15,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,44.0,27.0,3,15,1,2008,0.43
15,15,2008-01-16,73,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,36.0,30.0,4,16,1,2008,0.54
16,16,2008-01-17,82,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,41.0,30.0,5,17,1,2008,0.66
17,17,2008-01-18,112,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.84,36.0,31.0,6,18,1,2008,0.76
18,18,2008-01-19,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,48.0,32.0,7,19,1,2008,0.85
19,19,2008-01-20,76,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,39.0,20.0,1,20,1,2008,0.93
20,20,2008-01-21,82,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,24.0,16.0,2,21,1,2008,0.97
21,21,2008-01-22,97,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,29.0,20.0,3,22,1,2008,1.0
22,22,2008-01-23,98,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,40.0,28.0,4,23,1,2008,0.99
23,23,2008-01-24,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,44.0,25.0,5,24,1,2008,0.97
24,24,2008-01-25,100,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,40.0,20.0,6,25,1,2008,0.92
25,25,2008-01-26,110,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,34.0,21.0,7,26,1,2008,0.85
26,26,2008-01-27,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,37.0,21.0,1,27,1,2008,0.77
27,27,2008-01-28,106,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,42.0,29.0,2,28,1,2008,0.69
28,28,2008-01-29,108,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.03,45.0,29.0,3,29,1,2008,0.6
29,29,2008-01-30,80,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.04,56.0,29.0,4,30,1,2008,0.5
30,30,2008-01-31,77,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,50.0,26.0,5,31,1,2008,0.41
31,31,2008-02-01,86,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.61,43.0,29.0,4,2,1,2008,0.33
32,32,2008-02-02,103,USC00186350,"NATIONAL ARBORETUM DC, MD US",1.65,48.0,31.0,7,2,2,2008,0.23
33,33,2008-02-03,65,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,52.0,30.0,1,2,3,2008,0.3
34,34,2008-02-04,70,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,59.0,31.0,4,2,4,2008,0.19
35,35,2008-02-05,79,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.01,53.0,38.0,6,2,5,2008,0.15
36,36,2008-02-06,94,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,65.0,42.0,2,2,6,2008,0.04
37,37,2008-02-07,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.05,72.0,42.0,4,2,7,2008,0.01
38,38,2008-02-08,105,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,51.0,31.0,7,2,8,2008,0.01
39,39,2008-02-09,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,52.0,36.0,3,2,9,2008,0.07
40,40,2008-02-10,81,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,58.0,38.0,5,2,10,2008,0.08
41,41,2008-02-11,67,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,47.0,15.0,1,2,11,2008,0.16
42,42,2008-02-12,69,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,30.0,16.0,3,2,12,2008,0.17
43,43,2008-02-13,67,USC00186350,"NATIONAL ARBORETUM DC, MD US",1.01,32.0,23.0,4,13,2,2008,0.39
44,44,2008-02-14,86,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.37,39.0,26.0,5,14,2,2008,0.51
45,45,2008-02-15,92,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,42.0,28.0,6,15,2,2008,0.62
46,46,2008-02-16,93,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,57.0,30.0,7,16,2,2008,0.73
47,47,2008-02-17,87,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.0,48.0,28.0,1,17,2,2008,0.82
48,48,2008-02-18,78,USC00186350,"NATIONAL ARBORETUM DC, MD US",0.06,67.0,37.0,2,18,2,2008,0.9
