STATION,NAME,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/1/2016,30.8,24,0,,999.9,,57, ,39.9, ,15,,0,G,1020.6,24,999.9,,18.3,24,44,24,10,24,8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/2/2016,23.4,24,0,,14,,48, ,32, ,11.1,,0,G,1020.2,24,999.9,,17.9,24,39.5,24,10,24,6.4,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/3/2016,28,24,0,,24.1,,54, ,32, ,17.1,,0,G,1013.9,24,999.9,,11.6,24,40.9,24,10,24,5.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/4/2016,18.2,24,0,,28.9,,54, ,30, ,21,,0,G,1017.8,24,999.9,,15.5,24,35.6,24,10,24,12.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/5/2016,3,24,0,,29.9,,37.9, ,16, ,21,,0,G,1034.3,24,999.9,,32.1,24,24.2,24,10,24,12.7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/6/2016,11.5,24,0,,999.9,,39.9, ,16, ,7,,0,G,1036,24,999.9,,33.7,24,29,24,10,24,3.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/7/2016,29.3,24,0,,999.9,,43, ,19.9, ,5.1,,0,G,1027.8,22,999.9,,25.5,24,38,24,8.7,24,1.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/8/2016,39,24,10000,,999.9,,43, ,34, ,8.9,,0,G,1021.9,17,999.9,,19.5,24,41.1,24,3.8,24,4.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/9/2016,41.7,24,10000,,999.9,,50, ,39.9, ,6,,0.01,G,1019.9,16,999.9,,17.6,24,44.4,24,5.6,24,2.9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/10/2016,47.5,24,10000,,35,,62.1, ,41, ,24.1,,0.78,G,1002.2,21,999.9,,1.1,24,54.5,24,7.9,24,12.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/11/2016,12.9,24,0,,28,,46,*,28.9,*,15.9,,0.56,G,1014.6,24,999.9,,12.3,24,36.1,24,10,24,10.7,24
